	simple_id	supplier_id	seq_depth	subset	exclude	genus	species	callset202103	callset202103_malawi2perspecies	calset202106_GWAS	sex	clade	location	sublocation	undescribed	source	seq_source	notes	calcua_read_location	read_type	calcua_alignment_location_fAstCal1.2	study	study_id	change_history	taxonomic_uncertainty	full_name
ILBCDS5879572	HemOxy1	1	16.17	1.0		Hemitilapia	oxyrhynchus	1.0	1.0	1.0	M	Shallow	Southeast_arm	Mangochi	0.0	140715.manifest	sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879572/ILBCDS5879572.bam	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Hemitilapia_oxyrhynchus
ILBCDS5421990	LetLet1	3	15.51	1.0		Lethrinops	lethrinus	1.0	0.0	1.0	M	Shallow	Southeast_arm	Mangochi	0.0	130425.samples	sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421990/ILBCDS5421990_0.bam,/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421990/ILBCDS5421990_1.bam,/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421990/ILBCDS5421990_2.bam	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Lethrinops_lethrinus
ILBCDS6101008	DimKiw6	6	15.63	1.0		Dimidiochromis	kiwinge	1.0	0.0	1.0	U	Shallow	Metangula		0.0		sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS6101008/ILBCDS6101008.cram	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Dimidiochromis_kiwinge
ILBCDS6101006	TaiHol1	8	15.11	1.0		Taeniochromis	holotaenia	1.0	1.0	1.0	U	Shallow	Metangula		0.0		sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS6101006/ILBCDS6101006.cram	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Taeniochromis_holotaenia
ILBCDS6101002	RhaLon16	10	16.08	1.0		Rhamphochromis	longiceps	1.0	0.0	1.0	U	Rhampho	Metangula		0.0		sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS6101002/ILBCDS6101002.cram	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Rhamphochromis_longiceps
ILBCDS6101017	CopLik1	12	16.67	1.0		Copadichromis	likomae	1.0	1.0	1.0	U	Utaka	Metangula		0.0		sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS6101017/ILBCDS6101017.cram	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Copadichromis_likomae
ILBCDS5421986	AltMac1	14	16.47	1.0		Alticorpus	macrocleithrum	1.0	1.0	1.0	M	Deep	Southeast_arm		0.0	130425.samples	sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421986/ILBCDS5421986_0.bam,/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421986/ILBCDS5421986_1.bam,/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421986/ILBCDS5421986_2.bam	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Alticorpus_macrocleithrum
ILBCDS6101023	TaeFur3	25	15.97	1.0		Taeniolethrinops	furcicauda	1.0	1.0	1.0	U	Shallow	Metangula		0.0		sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS6101023/ILBCDS6101023.cram	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Taeniolethrinops_furcicauda
ILBCDS5879578	DipGre1	2004-117	17.06	1.0		Diplotaxodon	greenwoodi	1.0	1.0	1.0	U	Diplo			0.0	180808.sequenced_master	sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879578/ILBCDS5879578.bam	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0	supplier_id:30;		Diplotaxodon_greenwoodi
ILBCDS6101010	TaePra3	31	15.55	1.0		Taeniolethrinops	praeorbitalis	1.0	0.0	1.0	U	Shallow	Southeast_arm	Mangochi	0.0		sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS6101010/ILBCDS6101010.cram	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Taeniolethrinops_praeorbitalis
ILBCDS6101027	DimStr4	39	16.64	1.0		Dimidiochromis	strigatus	1.0	0.0	1.0	U	Shallow	Upper_Shire	Mangochi	0.0		sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS6101027/ILBCDS6101027.cram	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0	location:Southeast_arm;		Dimidiochromis_strigatus
ILBCDS6101015	HetOxy2	40	17.32	1.0		Hemitilapia	oxyrhynchus	1.0	1.0	1.0	U	Shallow	Southeast_arm	Mangochi	0.0		sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS6101015/ILBCDS6101015.cram	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Hemitilapia_oxyrhynchus
ILBCDS6101004	TyrNig4	75	14.8	1.0		Tyrannochromis	nigriventer	1.0	0.0	1.0	U	Shallow	Minos_reef		0.0		sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS6101004/ILBCDS6101004.cram	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Tyrannochromis_nigriventer
ILBCDS6101007	TaeMac1	86	14.98	1.0		Taeniolethrinops	macrorhynchus	1.0	1.0	1.0	U	Shallow	Chiwanga		0.0		sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS6101007/ILBCDS6101007.cram	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Taeniolethrinops_macrorhynchus
ILBCDS6101003	StiGut1	116	14.61	1.0		Stigmatochromis	pleurospilus	1.0	1.0	1.0	U	Shallow	Cape_Maclear		0.0		sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS6101003/ILBCDS6101003.cram	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0	species:macrorhynchos;	cf.	Stigmatochromis_pleurospilus
ILBCDS6101014	StiMod1	118	15.64	1.0		Stigmatochromis	modestus	1.0	1.0	1.0	U	Shallow	Cape_Maclear		0.0		sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS6101014/ILBCDS6101014.cram	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Stigmatochromis_modestus
ILBCDS6101012	MylEri1	119	14.72	1.0		Mylochromis	ericotaenia	1.0	1.0	1.0	U	Shallow	Cape_Maclear		0.0		sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS6101012/ILBCDS6101012.cram	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0	species:ericotaenia;	cf.	Mylochromis_ericotaenia
ILBCDS6101031	OtoLit1	131	14.8	1.0		Otopharynx	lithobates	1.0	1.0	1.0	U	Shallow	Cape_Maclear		0.0		sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS6101031/ILBCDS6101031.cram	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Otopharynx_lithobates
ILBCDS6101026	CteNit2	135	17.67	1.0		Ctenopharynx	pictus	1.0	1.0	1.0	U	Shallow	Cape_Maclear		0.0		sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS6101026/ILBCDS6101026.cram	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0	species:nitidus;		Ctenopharynx_pictus
ILBCDS6101030	DimDim1	162	14.41	1.0		Dimidiochromis	strigatus	1.0	1.0	1.0	U	Shallow	Cape_Maclear		0.0		sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS6101030/ILBCDS6101030.cram	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0	species:dimidiatus;		Dimidiochromis_strigatus
ILBCDS5879564	GenMen1	171	16.54	1.0		Genyochromis	mento	1.0	1.0	1.0	F	Mbuna	Chiofu		0.0	140715.manifest	sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879564/ILBCDS5879564.bam	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Genyochromis_mento
ILBCDS5879569	LabTre5	173	5.73	1.0		Labeotropheus	trewavasae	1.0	0.0	1.0	F	Mbuna	Chiofu		0.0	140715.manifest	sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879569/ILBCDS5879569.bam	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0			Labeotropheus_trewavasae
ILBCDS6101009	ProSpi3	173	16.52	1.0		Protomelas	kirkii	1.0	0.0	1.0	U	Shallow	Lower_Shire_river	Liwonde	0.0		sanger	initially Hemitaeniochromis spilopterus	/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS6101009/ILBCDS6101009.cram	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0	species:spilopterus;	cf.	Protomelas_kirkii
ILBCDS5879568	IodSpr1	174	17.64	1.0		Pseudotropheus	sp-variable-eastern	1.0	1.0	1.0	U	Mbuna	Chiofu		0.0	140715.manifest	sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879568/ILBCDS5879568.bam	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0	genus:Iodotropheus;species:sprengerae;		Pseudotropheus_sp-variable-eastern
ILBCDS5421972	OtoBro1	209	13.48	1.0		Otopharynx	sp-brooksi-nkhata	1.0	1.0	1.0	M	Shallow	Nkhata_Bay		1.0	130425.samples	sanger		/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421972/ILBCDS5421972_0.bam,/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421972/ILBCDS5421972_1.bam,/scratch/antwerpen/grp/asvardal/projects/cichlid/reads/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5421972/ILBCDS5421972_2.bam	cram		ILB_Cichlid_diversity_sequencing_WTMGM_student_project	2430.0	species:sp-brooksi-nkhata;		Otopharynx_sp-brooksi-nkhata
