species	id_individual_1	id_individual_2	taxus
	CICHM16429739	cichlid6978972	Copadichromis / sp-virginalis-kajose
	cichlid6994201	cichlid6994155	Maylandia / fainzilberi
	cichlid6979156	cichlid6979073	Maylandia / zebra
	cichlid6978881	cichlid6978960	Cynotilapia / zebroides
	ILBCDS5879566	ILBCDS5879565	Fossorochromis / rostratus
	cichlid7050687	cichlid7050662	Otopharynx / argyrosoma
	CICHM16429587	CICHM16429589	Trematocranus / placodon
	cichlid7020360	cichlid7020355	Diplotaxodon / limnothrissa
	cichlid7050765	cichlid7050768	Astatotilapia / calliptera
	cichlid6779946	cichlid6779939	Copadichromis / chrysonotus
	cichlid6994026	cichlid6994024	Maylandia / emmiltos
	ILBCDS5879589	ILBCDS5879592	Mylochromis / subocularis
	ILBCDS5879554	cichlid6978779	Diplotaxodon / sp-bigeye-black-dorsal
	cichlid7050711	ILBCDS5422001	Lethrinops / gossei
	cichlid7020216	cichlid7020222	Melanochromis / auratus
	ILBCDS5879560	cichlid7020246	Alticorpus / peterdaviesi
	cichlid6994005	cichlid6994008	Maylandia / sp-pearly
	cichlid6994079	CICHM16429676	Labeotropheus / trewavasae
	cichlid6993998	cichlid6993997	Tropheops / sp-chilumba
	cichlid7020201	cichlid6994255	Tropheops / sp-yellow-gular
	CICHM16429608	CICHM16429613	Protomelas / ornatus
	cichlid7050676	ILBCDS5421990	Lethrinops / lethrinus
	cichlid6993941	cichlid6993938	Copadichromis / virginalis
	CICHM16429625	CICHM16429618	Rhamphochromis / sp-greyback
	cichlid7020257	cichlid7020268	Aulonocara / sp-minutus
	cichlid7020186	cichlid7020179	Aulonocara / sp-malembo-orange
	cichlid7020364	ILBCDS5421995	Aulonocara / stuartgranti
	cichlid6993894	cichlid6994238	Dimidiochromis / kiwinge
	cichlid6978964	cichlid6994268	Tropheops / sp-chiofu-yellow
	cichlid6994187	cichlid6994188	Aulonocara / sp-blue-orange
	cichlid7050797	cichlid7050804	Rhamphochromis / sp-Chilingali
	ILBCDS5879571	cichlid6978970	Diplotaxodon / macrops
	CICHM16429641	CICHM16429643	Maylandia / zebra
	ILBCDS5879519	ILBCDS5879518	Mylochromis / anaphyrmus
	CICHM16429576	CICHM16429746	Petrotilapia / sp-genalutea-northern
	cichlid6994254	ILBCDS5879577	Petrotilapia / genalutea
	cichlid6994139	cichlid6993966	Tropheops / sp-band
	cichlid6978876	cichlid6994214	Maylandia / sp-lanisticola-north
	cichlid6994003	cichlid6993999	Labeotropheus / trewavasae
	cichlid6994137	CICHM16429716	Sciaenochromis / benthicola
	cichlid7050712	CICHM16429751	Diplotaxodon / longimaxilla
	cichlid6994182	cichlid6994141	Maylandia / callainos
	cichlid7020169	ILBCDS5438979	Alticorpus / geoffreyi
	cichlid7020247	cichlid7020102	Placidochromis / trewavasae
	cichlid7020192	ILBCDS5879523	Otopharynx / speciosus
	CICHM16429683	CICHM16429682	Tyrannochromis / nigriventer
	cichlid6978976	cichlid7020282	Rhamphochromis / ferox
	cichlid6993902	cichlid6993904	Petrotilapia / microgalana
	cichlid6993905	cichlid6978777	Tropheops / sp-rust
	cichlid6993954	cichlid6978784	Tropheops / gracilior
	cichlid6994193	cichlid6993960	Tropheops / sp-olive
	cichlid6993986	cichlid6993980	Tropheops / orange-head
	cichlid7050746	cichlid7050745	Maylandia / emmiltos
	cichlid6994178	cichlid6994183	Maylandia / callainos
	CICHM16429634	CICHM16429644	Maylandia / zebra
	cichlid6994253	cichlid6994240	Aulonocara / saulosi
	cichlid7020109	cichlid7020132	Placidochromis / elongatus
	cichlid7020379	cichlid7020378	Stigmatochromis / melanchros
	ILBCDS5879584	ILBCDS5879582	Placidochromis / longimanus
	cichlid7020287	cichlid7020286	Chilotilapia / rhoadesii
	CICHM16429662	cichlid7020207	Cheilochromis / euchilus
	ILBCDS6101027	ILBCDS5879579	Dimidiochromis / strigatus
	ILBCDS5879574	cichlid7020363	Tropheops / tropheops
	cichlid6978973	CICHM16429673	Pseudotropheus / lanisticola
	ILBCDS5879555	cichlid6978771	Cynotilapia / zebroides
	cichlid6994195	cichlid6994180	Maylandia / callainos
	cichlid7020262	cichlid7020250	Aulonocara / sp-copper
	cichlid6994212	CICHM16429692	Otopharynx / decorus
	ILBCDS6101014	cichlid6994241	Stigmatochromis / modestus
	cichlid7020249	cichlid7020336	Stigmatochromis / macrorhynchos
	CICHM16429734	CICHM16429733	Copadichromis / verduyni
	cichlid7020302	cichlid7050653	Otopharynx / tetrastigma
	cichlid6780012	CICHM16429690	Buccochromis / rhoadesii
	ILBCDS5421991	cichlid6994223	Placidochromis / johnstoni
	cichlid7020128	cichlid7020115	Mylochromis / spilostichus
	cichlid6978787	cichlid6978981	Rhamphochromis / woodi
	cichlid6993923	cichlid6993949	Petrotilapia / microgalana
	cichlid6993910	cichlid6993892	Pseudotropheus / lucerna
	cichlid6994256	cichlid7020202	Tropheops / sp-yellow-gular
	cichlid6994198	cichlid6994196	Tropheops / sp-white-dorsal
	CICHM16429674	CICHM16429677	Labeotropheus / trewavasae
	cichlid6994097	cichlid6994074	Labeotropheus / fuelleborni
	CICHM16429706	CICHM16429707	Aulonocara / rostratum
	cichlid7020254	cichlid7020264	Sciaenochromis / sp-sand
	cichlid6994220	cichlid6994236	Stigmatochromis / pholidophorus
	cichlid7020284	cichlid7020285	Stigmatochromis / woodi
	ILBCDS5879533	ILBCDS5879534	Ctenopharynx / intermedius
	cichlid6993931	cichlid7020304	Protomelas / kirkii
	cichlid7050624	cichlid7050623	Chilotilapia / rhoadesii
	cichlid7050619	cichlid7050618	Chilotilapia / rhoadesii
	CICHM16429694	CICHM16429696	Protomelas / similis
	cichlid6978872	cichlid6780013	Copadichromis / borleyi
	cichlid6978879	ILBCDS6101032	Rhamphochromis / esox
	cichlid6978979	cichlid6978969	Rhamphochromis / sp-longsnout
	CICHM16429720	CICHM16429718	Diplotaxodon / apogon
	cichlid6994061	cichlid6978875	Diplotaxodon / sp-limnothrissa-black-dorsal
	cichlid6994252	cichlid6994216	Gephyrochromis / sp-zebroides
	cichlid7050717	cichlid7050716	Tropheops / microstoma
	cichlid6993924	cichlid6993914	Petrotilapia / microgalana
	cichlid6993911	cichlid6993908	Cyathochromis / obliquidens
